deepseek_r142_point,status_on_R145,evidence_or_action
"Residual text[[...]] block",FALSE_ON_R145,"Compiled PDF scan finds 0 text[[...]] artifacts."
"Equation 7 has V^2 phi instead of nabla^2",FALSE_ON_R145,"Actual TeX uses |\nabla^2\phi_B|; V-like rendering was an extraction/OCR artifact. Text defines T_ij, Frobenius norm, scalar Laplacian magnitude, and epsilon_A."
"Equation 7 dimension unclear",PATCHED_ON_R145,"Text now states A_B is a dimensionless local anisotropy measure and defines the denominator units."
"Equation 8 only epsilon under square root",FALSE_ON_R145,"Actual TeX uses \left[(\partial_R\phi_B)^2+A_*^2+\epsilon_C\right]^{1/2}."
"Duplicate Figure 4 caption",FALSE_ON_R145,"Compiled PDF scan finds Figure 4 exactly once."
"No RMSE confidence intervals",TRUE_REMAINING_SCIENCE_BLOCKER,"Not fabricated. R145 states point-estimate status and keeps bootstrap intervals as required future work."
"p=0.298 calibration not fully documented",PARTLY_TRUE_REMAINING_SCIENCE_BLOCKER,"R145 labels it as an internal fixed comparison branch, not a universal or independently published constant. Full exponent scan remains required before journal submission."
"No error-weighted chi-square",TRUE_REMAINING_SCIENCE_BLOCKER,"R145 states that a full error-weighted chi-square reanalysis is still missing."
"Sign test p=0.332 not equivalence",PATCHED_ON_R145,"R145 says it is an uncertainty check only, not equivalence and not superiority."
"MOND phrase in RAR unnecessary",PATCHED_ON_R145,"RAR section no longer uses MOND as a literature-level comparison."
"Table 1 corrupted as <tr>",FALSE_ON_R145,"Actual TeX is a proper tabular table; compiled PDF scan finds 0 <tr> artifacts."
"Figures absent from PDF",FALSE_ON_R145,"All nine includegraphics calls have matching files; compiled PDF contains figures."
"Conclusion overstates regime dependence",PATCHED_ON_R145,"Conclusion says true regime dependence remains a hypothesis requiring free-p fits and propagated uncertainties."
"Typographic artifacts like held- out / observation- weighted / no- returning",FALSE_ON_R145,"Source scan finds no such tokens."
"AI or non-human traces",PATCHED_ON_R145,"Compiled PDF scan finds 0 AI/tool/prompt/pipeline/generated/assistant/LLM terms and 0 dossier phrases."
